attack,byz_ratio,byz_count,round,aggregator,threshold,weighted_f1,f1,accuracy,fpr,roc_auc
backdoor,30%,6,12,multikrum,0.51,0.958279,0.953608,0.944975,0.034507,0.977074
backdoor,30%,6,12,trimmedmean,0.43,0.960333,0.961422,0.953698,0.041348,0.979738
backdoor,30%,6,13,fedavg,0.5,0.961024,0.957173,0.949077,0.033029,0.98043
backdoor,30%,6,13,multikrum,0.47,0.957904,0.956209,0.947766,0.039477,0.97729
backdoor,30%,6,13,trimmedmean,0.51,0.960951,0.956664,0.948516,0.032427,0.979936
backdoor,30%,6,14,fedavg,0.5,0.96154,0.957346,0.949308,0.031982,0.98062
backdoor,30%,6,14,multikrum,0.47,0.958345,0.956655,0.94829,0.039046,0.977503
backdoor,30%,6,14,trimmedmean,0.43,0.960898,0.961962,0.954341,0.040746,0.980103
backdoor,30%,6,15,fedavg,0.42,0.961256,0.962839,0.955343,0.041191,0.980801
backdoor,30%,6,15,multikrum,0.49,0.959215,0.955895,0.947535,0.035658,0.977798
backdoor,30%,6,15,trimmedmean,0.47,0.961538,0.959562,0.951734,0.035409,0.980311
backdoor,30%,6,16,fedavg,0.42,0.961482,0.963382,0.955965,0.041452,0.981012
backdoor,30%,6,16,multikrum,0.48,0.959404,0.957257,0.949036,0.03728,0.977988
backdoor,30%,6,16,trimmedmean,0.49,0.961815,0.95929,0.951457,0.034284,0.980526
backdoor,30%,6,17,fedavg,0.41,0.961793,0.963547,0.956171,0.040916,0.981162
backdoor,30%,6,17,multikrum,0.46,0.959797,0.957946,0.949822,0.037345,0.97812
backdoor,30%,6,17,trimmedmean,0.44,0.962122,0.962039,0.954516,0.037751,0.980637
backdoor,30%,6,18,fedavg,0.48,0.962518,0.960549,0.952896,0.034441,0.981423
backdoor,30%,6,18,multikrum,0.48,0.959888,0.957564,0.949411,0.036521,0.978441
backdoor,30%,6,18,trimmedmean,0.43,0.961784,0.963091,0.955662,0.040236,0.980966
backdoor,30%,6,19,fedavg,0.48,0.962647,0.960279,0.952608,0.033696,0.981488
backdoor,30%,6,19,multikrum,0.47,0.960087,0.957831,0.949719,0.03643,0.978421
backdoor,30%,6,19,trimmedmean,0.45,0.96248,0.962205,0.954726,0.037097,0.98104
backdoor,30%,6,20,fedavg,0.48,0.962989,0.960936,0.953359,0.03384,0.981718
backdoor,30%,6,20,multikrum,0.47,0.960494,0.958706,0.950711,0.036743,0.978753
backdoor,30%,6,20,trimmedmean,0.45,0.96289,0.96278,0.955395,0.03694,0.981259
